Section Index,Section Area (m^2)
158,8.975864006240076E8
159,8.978306801641233E8
160,8.98394614915541E8
161,8.986900873826382E8
162,8.989633951681346E8
163,8.991861367979454E8
164,8.973303616212716E8
165,8.97858982786233E8
166,8.984026170436299E8
167,8.986636030092121E8
168,8.987548444036101E8
169,8.989437021457292E8
170,8.967514459673513E8
171,8.974633350251521E8
172,8.976262682376281E8
173,8.977508414095625E8
174,8.980052418412236E8
175,8.98381685925061E8
176,8.962980703520486E8
177,8.970283539287285E8
178,8.973327559364856E8
179,8.974556131648902E8
180,8.977232542961495E8
181,8.98106018966689E8
182,8.967755220868505E8
183,8.971737290228958E8
184,8.974095696384809E8
185,8.976393233736131E8
186,8.979369733429863E8
187,8.982119117410868E8
188,8.969544558289506E8
189,8.972894809706643E8
190,8.974173597311678E8
191,8.975337135464019E8
192,8.97654562519968E8
193,8.978733475444806E8
194,8.968147960271304E8
195,8.972356001537073E8
196,8.974162344140112E8
197,8.974998132806587E8
198,8.975453018243073E8
199,8.976783913777897E8
200,8.963356405602413E8
201,8.969625741641681E8
202,8.972923266658986E8
203,8.97510535318645E8
204,8.976424823257773E8
205,8.977269091318617E8
206,8.956825583879939E8
207,8.96535911736403E8
208,8.970552873352665E8
209,8.974172557211634E8
210,8.977011621706663E8
211,8.978596998999724E8
212,8.952162271840758E8
213,8.962028359396E8
214,8.968715578448195E8
215,8.973011748715936E8
216,8.976435941973743E8
217,8.979000428420684E8
218,8.950072093357608E8
219,8.960558922482827E8
220,8.967539247175446E8
221,8.972249348537922E8
222,8.975681384984915E8
223,8.978137924458076E8
224,8.951565146055835E8
225,8.960411852076123E8
226,8.966877666986812E8
227,8.971114195726485E8
228,8.974224236004977E8
229,8.954718320279768E8
230,8.961121208470659E8
231,8.966188873851739E8
232,8.969887303039911E8
233,8.973281894173654E8
234,8.956231970239666E8
235,8.960654312754843E8
236,8.964807149567397E8
237,8.968507470213609E8
238,8.971998884378741E8
239,8.955053244970762E8
240,8.959506949454302E8
241,8.963318187203063E8
242,8.967400337137206E8
243,8.971124397884359E8
244,8.951414804280374E8
245,8.956410108243195E8
246,8.960959449339219E8
247,8.965100301742314E8
248,8.969093390681937E8
249,8.948138748625995E8
250,8.953697778117032E8
251,8.958736645247725E8
252,8.963136758053052E8
253,8.967039947352191E8
254,8.946297381482446E8
255,8.951796539983697E8
256,8.957185865840088E8
257,8.961595276052088E8
258,8.96529121539833E8
259,8.945081405198278E8
260,8.950471732692958E8
261,8.955634247925285E8
262,8.960421913550504E8
263,8.964269382435836E8
264,8.942968119244262E8
265,8.948502704427886E8
266,8.953878417635876E8
267,8.958555350923306E8
268,8.962877955657583E8
269,8.941403930046768E8
270,8.94681800543197E8
271,8.952134949122485E8
272,8.956883523433632E8
273,8.96097636121371E8
274,8.940432554023962E8
275,8.945810282855306E8
276,8.951129071253734E8
277,8.955597024345428E8
278,8.959546589967285E8
279,8.938917365049781E8
280,8.94470208872686E8
281,8.950021935452154E8
282,8.954611595610821E8
283,8.958325465117141E8
284,8.937168457016261E8
285,8.942824420923474E8
286,8.948155097534469E8
287,8.952978840708307E8
288,8.956718562680006E8
289,8.934806049727442E8
290,8.940876761267918E8
291,8.946298669294667E8
292,8.951132692433246E8
293,8.954851537310855E8
294,8.932674131248941E8
295,8.938458539286246E8
296,8.944231540101539E8
297,8.948849217841877E8
298,8.95256681971557E8
299,8.930857274933227E8
300,8.936385126605374E8
301,8.941453306103328E8
302,8.946067682208431E8
303,8.949886966786301E8
304,8.929873522582564E8
305,8.934712328336626E8
306,8.939160442677593E8
307,8.94322963912966E8
308,8.947217376495082E8
309,8.927752945034544E8
310,8.932564097328966E8
311,8.936493778524086E8
312,8.940621898508974E8
313,8.944390118049821E8
314,8.924340074018275E8
315,8.929487640451076E8
316,8.934092692822595E8
317,8.938583249492546E8
318,8.942653883695232E8
319,8.919749763851215E8
320,8.92575938342388E8
321,8.931450339635638E8
322,8.936511276794146E8
323,8.940939371184071E8
324,8.916231013361616E8
325,8.922598593471088E8
326,8.928808622010242E8
327,8.934299230692483E8
328,8.939397316054722E8
329,8.914540862798107E8
330,8.920782304045814E8
331,8.926520829433702E8
332,8.932279053987668E8
333,8.937732425094954E8
334,8.912553252151995E8
335,8.918399396571953E8
336,8.924373490777705E8
337,8.930113447829692E8
338,8.93573887337185E8
339,8.909203453371497E8
340,8.915296193144505E8
341,8.92146648723769E8
342,8.927331545044789E8
343,8.932893381180102E8
344,8.906841852206022E8
345,8.913104683497101E8
346,8.919440696672904E8
347,8.925450440471588E8
348,8.930844314564084E8
349,8.905768948969562E8
350,8.911650540729542E8
351,8.917943419666302E8
352,8.923667279834553E8
353,8.929000874199566E8
354,8.905155580016336E8
355,8.910823504003563E8
356,8.916693376791801E8
357,8.922308366970184E8
358,8.927564886295309E8
359,8.904041686170543E8
360,8.909701433591496E8
361,8.915237986457525E8
362,8.920843575744578E8
363,8.926111219908187E8
364,8.902415689025908E8
365,8.90819728672547E8
366,8.913874606685946E8
367,8.91959269754199E8
368,8.92460249442799E8
369,8.900543971000617E8
370,8.906435620720595E8
371,8.912446666482174E8
372,8.918119446631223E8
373,8.923086110651996E8
374,8.898379174414754E8
375,8.904488397727134E8
376,8.910808801152737E8
377,8.916642533830538E8
378,8.921812460084022E8
379,8.896904834456193E8
380,8.903158560900103E8
381,8.909370460127016E8
382,8.915217728956078E8
383,8.920582615435615E8
384,8.895664847055485E8
385,8.901840266192544E8
386,8.90779611113887E8
387,8.913672893324955E8
388,8.91927092161146E8
389,8.894155808335376E8
390,8.900418858852161E8
391,8.906323506225646E8
392,8.912094691970975E8
393,8.917845434230168E8
394,8.892047381406715E8
395,8.898478450849378E8
396,8.904478545330929E8
397,8.9104165312162E8
398,8.916247157939088E8
399,8.921866406485727E8
400,8.889853563699113E8
401,8.8963962241553E8
402,8.902518923301308E8
403,8.908672782741321E8
404,8.91459255231005E8
405,8.920155274956942E8
406,8.887602261003269E8
407,8.894254916966115E8
408,8.900618654100231E8
409,8.906730063251314E8
410,8.9126975671721E8
411,8.918227131790665E8
412,8.887108738384819E8
413,8.893368962001632E8
414,8.899627291480043E8
415,8.905855054631051E8
416,8.911617414759895E8
417,8.917166818069361E8
418,8.881277532144053E8
419,8.886912670505948E8
420,8.894927112449642E8
421,8.902392175003499E8
422,8.909009688241805E8
423,8.914949397807213E8
424,8.866312711463672E8
425,8.873388298077363E8
426,8.884195274527358E8
427,8.894844781230979E8
428,8.903970897725273E8
429,8.911879237286401E8
430,8.864695175523742E8
431,8.870946926155521E8
432,8.880577941114037E8
433,8.891958375573618E8
434,8.902456977625631E8
435,8.870668780256768E8
436,8.876673450844475E8
437,8.884589531616181E8
438,8.893900856302918E8
439,8.903288922624766E8
440,8.876337155676981E8
441,8.882889647645233E8
442,8.889892474449176E8
443,8.897295732258596E8
444,8.904415844128559E8
445,8.878312167478024E8
446,8.885073297831105E8
447,8.891746276976761E8
448,8.89820975871155E8
449,8.904302126121714E8
450,8.876738669717672E8
451,8.883440968840909E8
